P37646	PF00563
P19359	PF00010
B5M9P7	PF08447
P25336	PF00488
Q9Z1Q9	PF00133
Q9VI81	PF01607
Q6NZM9	PF00850
Q6NWL6	PF01088
P25339	PF00806
Q99K73	PF06071
Q99K74	PF11277
P25338	PF06127
Q9PNJ0	PF00288
Q96D88	PF15386
O74191	PF00254
A0JLQ5	PF04427
P50874	PF14630
Q2VIK8	PF00313
B5TR11	PF08266
O25766	PF01746
P13508	PF00066
Q8RXR6	PF03000
O25761	PF13166
F1N4X0	PF13181
Q9SKY9	PF04844
P13501	PF00048
P13500	PF00048
Q9LJG3	PF00657
O25769	PF02623
P13504	PF01582
P31402	PF01991
Q9VWG5	PF01757
Q13936	PF00520
F1LSX7	PF03725
Q6FUT5	PF05397
Q3SWX8	PF00400
Q52LA3	PF10044
Q93ZN2	PF00248
Q8L471	PF04570
P01849	PF09291
A0JMQ9	PF00641
O00170	PF00254
Q12179	PF09848
Q6NRL1	PF00071
Q6NRL7	PF07719
Q9LPZ3	PF00954
Q8N5B7	PF03798
P40356	PF11593
Q8WTU2	PF00530
P40354	PF00795
P40355	PF04991
P40352	PF00176
P40353	PF07247
P40350	PF00535
P40351	PF03155
Q9USY3	PF04112
Q9USY2	PF16842
Q9USY1	PF00294
Q9USY0	PF08594
Q9LEV7	PF03092
P40358	PF00226
P40359	PF05916
P69681	PF00909
Q81K75	PF00342
H2KYN0	PF00995
P69682	PF07933
Q7XHZ0	PF00447
O25494	PF00899
P69687	PF00721
O25496	PF04069
O25499	PF02021
P03107	PF00513
Q9VCV4	PF00694
Q7Z992	PF09454
P03103	PF00500
Q7Z991	PF00005
Q94420	PF00651
P0AAD4	PF03222
P0AAD8	PF03222
D3ZDK2	PF00179
P23509	PF00483
Q7TN89	PF00071
Q8CZK9	PF02812
Q9U1M2	PF07851
O55157	PF00027
O55156	PF01302
Q96N20	PF01352
Q96N21	PF01417
P77506	PF06643
P62718	PF01775
Q8KZM4	PF01370
Q96N28	PF04707
Q8ZGJ1	PF01261
Q9VYZ8	PF15364
Q6DCA0	PF01871
Q3USJ8	PF14604
Q8K265	PF14077
O95104	PF00076
Q8MKL4	PF00621
A4JYD4	PF13895
D0AB41	PF00082
P00540	PF00069
Q9HC36	PF00588
E1JJ45	PF00076
Q9CU65	PF06467
Q5T440	PF08669
Q9H6U8	PF03901
Q9Y041	PF04209
Q7ZX77	PF00012
P45804	PF13687
P45807	PF10689
Q9H6U6	PF12490
P48837	PF13874
P48836	PF03179
P0C045	PF01543
Q9Y048	PF00569
Q9R099	PF00400
P08169	PF00040
Q8NAK9	PF00076
P80370	PF00008
Q19932	PF05978
Q95ZT1	PF00244
Q9R092	PF00106
P38405	PF00503
Q9CXE6	PF08423
Q54RF4	PF13202
Q6PJP8	PF07522
Q32P51	PF00076
P75679	PF01527
Q9UMW8	PF00443
Q0P8I7	PF01370
Q19937	PF00046
A2A2Y4	PF09379
Q3UIU2	PF09782
Q80UZ0	PF00621
O35774	PF10522
P29371	PF00001
Q8LB54	PF12871
Q24474	PF00076
P32020	PF00108
Q8H0W3	PF00249
Q12874	PF12108
Q12873	PF00176
Q12872	PF01805
Q0P8I4	PF00908
Q12870	PF00010
Q6P1Y9	PF09763
Q8R420	PF00005
Q8R422	PF10569
Q9BU02	PF01928
Q12879	PF10565
Q8R426	PF13833
Q9Z2Q7	PF05739
Q9Z2Q6	PF00735
F4IF36	PF00628
Q9Z2Q4	PF02574
Q22441	PF13445
Q9ZSJ6	PF07172
Q9Z2Q1	PF12931
Q9ZSJ4	PF00504
Q12692	PF16211
Q7CHA3	PF12706
Q5JY65	PF02184
Q7JQW6	PF04055
Q8K2Q2	PF13417
Q78JW9	PF00240
P54521	PF13742
Q40665	PF03953
Q40666	PF04177
Q9M223	PF03998
Q8X8S6	PF02706
Q8CID0	PF00583
Q5NGN2	PF01112
Q53176	PF01568
Q9SIZ5	PF00249
Q9LNG8	PF00319
Q12691	PF00690
Q9VC27	PF05450
Q9H7Q5	PF00400
P60300	PF00654
Q76TK5	PF04682
Q94JW8	PF03110
P54522	PF02609
O94279	PF12689
O94278	PF00172
O94275	PF00632
Q6EKJ0	PF02946
O94276	PF12898
O94271	PF00097
Q9JJD0	PF05485
O94273	PF00160
O94272	PF02991
Q9LVL2	PF00141
Q8K4R8	PF02690
O17761	PF02737
Q12690	PF01294
P39750	PF00752
Q9LVL5	PF00069
P74451	PF00069
P0A283	PF00358
Q9LVL9	PF12697
P39758	PF04014
O13864	PF03810
Q5XIU4	PF05529
Q5XIU5	PF11566
Q39258	PF01991
P49017	PF01209
Q39254	PF01699
Q39255	PF03931
P49018	PF01650
Q5I0H0	PF00620
Q39250	PF00241
O13868	PF05129
G3V439	PF05458
P43079	PF02200
Q94247	PF01684
P29375	PF02928
B3GQS7	PF00118
Q9JJW6	PF00076
P01556	PF01376
O14073	PF00326
O08550	PF02008
O08553	PF01979
Q5U214	PF00076
O14077	PF16187
O14076	PF10175
O14075	PF02826
Q9NRA0	PF00781
Q9T0C7	PF08268
Q7CH00	PF16187
P44868	PF00588
Q8GW48	PF06825
G5ECQ8	PF16898
P79011	PF02186
P79010	PF01215
P28240	PF00463
P28241	PF00180
P79015	PF01655
Q3TQF0	PF12937
P79016	PF01090
Q9VA97	PF01168
P28248	PF00692
P28249	PF05170
P17972	PF00520
Q6PHL5	PF01777
P17970	PF00520
P17971	PF11601
Q94AM1	PF01432
P72643	PF00085
P72642	PF01113
Q5VTZ4	PF00170
D3XDS5	PF01528
P46598	PF00183
P40010	PF01926
P96117	PF00005
P96116	PF01297
Q8WV44	PF00643
P46595	PF00179
Q8WV41	PF14604
P11835	PF17205
A5K4U6	PF00348
Q8IKW5	PF03144
Q13057	PF01467
Q6UXM1	PF13855
Q8CFX1	PF01182
P52612	PF00006
P52613	PF02050
P52614	PF02120
Q7JVK6	PF01997
Q86T24	PF00651
Q81YS4	PF00015
Q17967	PF00085
Q17964	PF05769
Q7JVK8	PF05811
Q17962	PF04300
Q17963	PF00400
Q71S78	PF00867
P74419	PF01844
Q9DEG4	PF00880
Q9FE06	PF04674
Q6UB35	PF02882
Q8MLX1	PF10351
Q81TA1	PF03060
Q8N427	PF00085
B6A880	PF12256
Q8N423	PF13895
O31404	PF00676
Q9VNM1	PF00001
Q9VGM2	PF00061
Q81WF2	PF02142
Q9VGM1	PF00005
Q8K3A8	PF00076
Q14703	PF00082
G3H0F0	PF16879
Q9VDD0	PF00856
Q8K3A9	PF13847
Q9NPB0	PF10260
Q9NPB1	PF06941
P01789	PF07686
P54619	PF00571
Q94AD9	PF00642
Q94AD8	PF00400
Q9NPB6	PF00595
Q0PC14	PF01207
Q9NPB8	PF03009
Q9NPB9	PF00001
P54611	PF01991
Q7TPM3	PF13445
Q00872	PF07679
Q00873	PF01265
P28867	PF00433
Q68D85	PF01140
P29254	PF00223
Q1D2U8	PF00498
P28861	PF00175
Q1D2U5	PF13174
Q8BRN9	PF00168
Q6DJH7	PF00107
H6UZN0	PF02124
Q9VDD1	PF09756
Q8IWA0	PF00400
Q9VPX6	PF01213
Q9VPX7	PF01213
Q9VPX5	PF12850
Q9VPX2	PF07690
Q9VPX3	PF01189
Q76I76	PF00782
G2HK02	PF00917
Q9HCH3	PF07002
Q8I3R2	PF15863
P24346	PF00271
Q8INJ2	PF01145
Q9SI17	PF00141
D9N551	PF16548
A4PIV9	PF05030
Q8IWA4	PF04799
Q8IWA5	PF04515
A4PIV7	PF05030
Q8D0B6	PF14850
Q9NZ56	PF02181
Q9NZ53	PF06365
Q9NZ52	PF00790
Q02650	PF12403
Q9WVC3	PF01146
P73116	PF11833
P73117	PF00905
P73114	PF12697
P73115	PF12697
Q06806	PF07714
Q9WVC0	PF00735
P73111	PF03783
Q1ZXV0	PF00071
O52120	PF06977
Q9W0G1	PF00102
Q9Y821	PF10018
Q9Y820	PF01399
Q9Y823	PF00682
Q38SD2	PF00069
Q9Y825	PF12265
Q9Y827	PF01734
Q9LW88	PF00638
Q1G3Q4	PF04640
Q8L3R2	PF13833
Q9N4U5	PF07808
P25738	PF13984
Q7G3Y4	PF00231
P11464	PF07686
P11465	PF07686
O14709	PF02023
Q99LC4	PF07686
M0RBP3	PF06312
Q9NW82	PF00400
Q5H8C1	PF00059
P19253	PF00572
Q0VAA2	PF13516
Q4FZQ7	PF00831
C9J6P4	PF02825
O23188	PF03763
Q12019	PF07728
Q12018	PF10557
Q1HVD3	PF04682
Q8STA5	PF01230
Q9W4F6	PF15396
Q12010	PF04193
Q12013	PF01529
Q12012	PF01871
Q12015	PF13373
Q9W303	PF00704
Q3KNR5	PF00292
Q12016	PF05255
Q726Q1	PF00575
Q93716	PF13869
Q8IQU2	PF10545
H2L019	PF00105
O23184	PF13499
Q9VZB3	PF02757
Q62150	PF00076
Q9VZB4	PF02757
Q16706	PF07748
Q9BY76	PF00147
Q9BY77	PF00076
P0C2L3	PF15069
A2BDB7	PF08574
Q8BGG7	PF00627
Q43903	PF07357
Q9BY71	PF01462
O35876	PF06003
Q9DAR2	PF00782
H2KZ39	PF00250
Q9JJD8	PF00118
Q72CV3	PF02597
Q7KML4	PF00787
Q8FBV2	PF01212
F2Z660	PF10531
Q9Y2L9	PF13855
Q9Y2L8	PF02023
Q4VA93	PF00433
Q9Y2L5	PF12739
Q5RZ99	PF07992
Q9Y2L6	PF09379
Q9Y2L1	PF17215
P32610	PF01813
O61847	PF00069
O45489	PF00010
Q5HZN1	PF02373
Q08B56	PF03081
Q96MY7	PF10595
Q9VA99	PF00080
Q9D1M0	PF00400
Q7Z3L0	PF00076
Q6GQG6	PF03066
Q9C5Q8	PF13847
Q8SZT8	PF00069
Q6NNC7	PF01918
Q5SLR3	PF02780
Q9VTI3	PF00294
P55058	PF02886
Q9VKW8	PF01423
P11680	PF00090
Q9VKW4	PF00225
Q9VTI8	PF07809
Q91CG6	PF00869
Q8T3X9	PF01521
P55056	PF15119
P55055	PF00105
Q9P0T7	PF05434
P56508	PF01679
P26152	PF02932
Q9VXV3	PF12859
Q9NQ29	PF03194
P31039	PF02910
Q9XW79	PF00149
P11289	PF10973
Q16589	PF00134
Q47506	PF00899
Q15546	PF03006
P20478	PF03951
Q15544	PF04719
Q15545	PF04658
Q15542	PF00400
Q15543	PF02269
P17156	PF00012
P17157	PF00069
P17158	PF01824
Q2M3C7	PF05716
P20472	PF13499
P20477	PF03951
Q03017	PF12796
Q91604	PF00069
Q5U4A3	PF11945
Q03013	PF02798
Q03012	PF00628
Q8WWH5	PF01509
Q8WWH4	PF07647
Q96GR2	PF00501
Q9LD90	PF01509
Q04533	PF01053
Q03019	PF00581
O82499	PF01176
P29381	PF00319
P29382	PF00319
P29383	PF00319
P29384	PF00319
P29385	PF00319
P29386	PF00319
Q5NIF4	PF16658
P29388	PF00662
Q5T0N5	PF00018
Q6NMT8	PF13864
Q08794	PF00892
Q4KMP7	PF00566
Q9VWH1	PF00046
Q7CJU2	PF02378
Q5SW19	PF12807
P75515	PF02653
P75516	PF00005
P75517	PF16363
P75510	PF00579
P75512	PF00085
P21515	PF04336
Q9VDX9	PF14912
O82882	PF10462
Q9VUU5	PF01344
P21514	PF00196
Q99KH8	PF00069
P61493	PF00166
Q6R327	PF14668
Q55318	PF00175
O75935	PF07426
O95361	PF00643
Q7CJU3	PF01979
Q4KWH8	PF00387
Q9VBW9	PF04218
Q9LMI0	PF02358
Q13868	PF15985
Q13867	PF03051
Q7Z5H5	PF03402
Q9VBW6	PF04218
Q9VBW1	PF12036
Q9VBW3	PF07714
P78009	PF00889
P78008	PF08125
P08218	PF00089
P68451	PF11099
Q6ZVN8	PF06535
O88407	PF01027
O88406	PF03166
P78003	PF00438
D3ZRK7	PF09079
P78005	PF01026
G0S236	PF14523
P78007	PF00056
O32247	PF13240
Q9FMC2	PF00170
Q8R5G7	PF07647
B9DGI8	PF12498
O34833	PF05816
O80651	PF04720
O34835	PF03061
Q8I630	PF03029
P34528	PF05577
P34529	PF00636
Q96AX9	PF00569
P34522	PF05044
Q9BTA9	PF00397
Q96AX2	PF00071
Q96AX1	PF00995
P34525	PF04573
P24383	PF00110
Q9JKN6	PF00013
Q9JKN5	PF00010
P24387	PF05428
P24386	PF00996
H2KYS3	PF00067
P24384	PF00575
Q86W56	PF05028
Q38970	PF02786
Q86W54	PF15175
Q9PM63	PF00472
Q924T7	PF09409
P93823	PF13639
Q86W50	PF05971
Q8CI03	PF15423
P74745	PF00069
Q7CIS3	PF03466
Q9BV79	PF00107
Q6B8I1	PF00782
P73639	PF04055
Q5M7E4	PF00485
Q7CIS4	PF07690
Q8BUB4	PF00400
Q9U1R1	PF00046
Q8N6F1	PF00822
P73638	PF03130
Q8N6F7	PF15666
Q8MSV4	PF03171
Q9NB31	PF00069
P01877	PF00047
Q8CZP1	PF14718
Q9LSM5	PF07093
Q6QZN6	PF15268
P76373	PF03721
P76372	PF02706
Q9UTC2	PF11326
Q9UTC3	PF05916
F1BA48	PF05733
Q8K4C2	PF08357
Q9UTC6	PF01592
Q9UTC7	PF00400
Q9UTC4	PF08550
Q9UTC5	PF00485
Q8C008	PF13287
Q9UIM3	PF00515
Q9FGX2	PF07716
Q5AG31	PF08638
P0A8B2	PF01713
Q95RR1	PF00403
Q08242	PF11592
O75865	PF04051
Q96RU7	PF00069
Q9W1H8	PF00108
P74515	PF04107
Q9PPF4	PF03129
G1SZ14	PF10584
Q12968	PF00554
P19909	PF01378
P27128	PF08437
P27129	PF08437
Q8IDS7	PF01384
Q09116	PF00735
Q6Q560	PF05347
Q09118	PF00008
Q5JSB6	PF02319
P0AEF0	PF01695
Q9C514	PF01251
Q9FNC9	PF04281
P27127	PF00534
P0AEF4	PF00072
P27125	PF06379
E9Q9I2	PF04822
Q8CEF3	PF13499
Q8MSV2	PF00076
Q9GZD0	PF02390
Q8I1U8	PF02148
G5EFW3	PF00435
Q01329	PF11935
Q9M8L2	PF01344
P73515	PF00069
Q8I1U7	PF02463
Q8CEF1	PF13606
Q01321	PF06522
Q01320	PF16898
P72983	PF04483
P72981	PF00132
P72985	PF11068
P72988	PF03331
P72989	PF07176
Q3UVN5	PF00789
Q8C5M4	PF13499
Q1K612	PF01393
Q86XM6	PF01569
O45622	PF03143
Q9UUF4	PF10315
O83192	PF01553
Q32SG4	PF03106
F4IEB6	PF04640
P41247	PF01734
O43502	PF08423
P41245	PF04886
Q8ZAA1	PF00593
P41242	PF00018
P41241	PF00018
P41240	PF00018
Q18885	PF01849
Q8IYB9	PF01352
O43508	PF00229
Q18880	PF04155
Q6NZ63	PF01794
A8K3Q9	PF01929
Q72EV6	PF00800
Q6EU39	PF00319
Q7KTW9	PF13537
Q9LUP8	PF07734
Q9M2Y8	PF00155
Q9M2Y9	PF00249
Q9LUP4	PF07734
Q9UHA2	PF05030
Q9UHA3	PF01246
Q9UHA4	PF08923
Q46342	PF12918
Q9UHA7	PF00340
Q6PFR5	PF00076
P26995	PF05932
Q94AA7	PF00106
P25809	PF02807
P04591	PF00098
Q7WXQ3	PF00374
Q7WXQ4	PF01058
Q5QP82	PF00400
O08617	PF00102
O08614	PF00569
Q9VI35	PF00188
B2RYX1	PF05365
B2RYX0	PF01849
Q9LXX5	PF01789
P18481	PF16569
Q9U2Z0	PF00046
Q61371	PF13181
O08618	PF13793
Q9VI33	PF07368
P0CB16	PF00931
Q97ZJ9	PF01192
Q63584	PF01105
Q9LDJ3	PF01357
O80533	PF01370
Q9VCZ4	PF00505
Q9D358	PF01451
P04733	PF00131
P18480	PF04855
Q9H2M2	PF02159
Q8C2E4	PF13812
Q8C2E7	PF10266
Q8C2E1	PF02985
P09996	PF06078
Q9SCZ4	PF07714
Q96KA5	PF05602
P36313	PF10488
Q9V9P7	PF02995
Q17R31	PF01026
Q5XI01	PF08777
P04737	PF05513
Q5XI05	PF08238
O75132	PF02892
O75131	PF07002
Q9VSM4	PF07766
Q6GN08	PF12717
Q9CQP2	PF04628
Q9HGM3	PF01434
Q9HGM4	PF10261
Q9HGM6	PF00955
Q9HGM7	PF03666
Q9HGM8	PF08785
Q9HGM9	PF13181
Q9VI39	PF13499
Q6IRE4	PF09454
Q8TEM1	PF02368
Q55716	PF02091
O74422	PF03357
O74423	PF01417
O74420	PF03303
Q9VT60	PF01734
O74426	PF00069
O74427	PF00485
O74424	PF07926
Q9QXJ1	PF00397
Q9UBW5	PF03114
O74428	PF10452
Q9UBW7	PF06467
Q6BEX0	PF00005
Q81W39	PF00300
O83700	PF01551
Q9ERF3	PF00400
P40197	PF13855
P40191	PF08543
P06525	PF00107
Q91V28	PF03446
Q91V27	PF04698
Q91V26	PF00781
Q91V24	PF00005
P40198	PF07686
P40199	PF07686
O70503	PF00106
Q4V480	PF00379
Q9NXD3	PF12422
P23715	PF02774
Q6P777	PF10240
P23711	PF01126
Q9NZQ9	PF03250
Q9NYP7	PF01151
O25558	PF01924
Q10RI2	PF04146
P0ACX9	PF10636
Q9D4R7	PF04091
P0ACX5	PF10965
P0ADL1	PF07690
P0ACX3	PF08803
P0ADL3	PF06711
Q8INI8	PF00012
G3UW74	PF11635
Q9PIS2	PF05198
Q9LLD3	PF07714
Q7L4M3	PF00038
Q8ZJN2	PF00107
A1Z6I7	PF00069
Q6GP10	PF00076
P18484	PF02883
Q4V6B6	PF14645
Q5NF31	PF01029
Q8MQI6	PF05129
D0UZP9	PF01771
Q9ZMZ4	PF00547
A4D1U4	PF09804
Q9HDU3	PF16363
P38646	PF00012
Q9HDU1	PF06198
Q9HDU0	PF09437
Q9CPR7	PF05769
Q9HDU6	PF08546
Q9CPR5	PF00828
Q9HDU4	PF16363
Q9H0I3	PF13870
Q9H0I2	PF13864
F1MWD3	PF00118
Q9HDU8	PF06198
Q8CL88	PF03797
Q5VWN6	PF12509
P30412	PF00160
P47979	PF00642
P30411	PF00001
P30416	PF07719
P54939	PF08913
P30414	PF00160
P30415	PF00160
P47972	PF00354
P47971	PF00354
P30419	PF02799
P47977	PF00642
P47976	PF00642
P54899	PF02774
P47974	PF00642
Q8R242	PF00704
Q9V9R6	PF13181
Q5I7T1	PF04922
O83296	PF13614
Q60775	PF00178
P74294	PF00072
O83070	PF14842
Q60771	PF00822
Q60770	PF00995
Q9W5Y0	PF05649
Q8K4E0	PF15309
O83294	PF13735
Q9Y6Y8	PF00536
B3H6X4	PF10250
Q9FJW1	PF14009
Q4JQW0	PF05072
O15427	PF07690
Q9BRX8	PF13911
Q9BRX9	PF00400
Q9NZN4	PF16880
Q9NZN5	PF00621
Q8IR79	PF00069
Q9NZN3	PF16880
Q9NZN1	PF01582
O35685	PF14050
Q9BRX2	PF03465
O35681	PF00168
Q9BRX5	PF05916
Q9NZN8	PF04153
O35682	PF01284
Q9JI95	PF00166
Q7CJ45	PF04041
P37198	PF05064
P37199	PF08801
P37197	PF14376
P37194	PF03843
P37195	PF00196
P73943	PF10719
P70217	PF12284
P70210	PF01285
P70211	PF06583
Q0QEW7	PF17135
Q9P013	PF04889
P15806	PF00010
P18835	PF01391
Q9M021	PF00069
Q9P016	PF01878
Q9P015	PF00828
P18831	PF01391
Q9ER39	PF06309
Q9VA28	PF00334
O01502	PF02771
Q29RQ3	PF00400
P0AAR5	PF04304
Q9ER34	PF00694
Q9ER35	PF03881
Q9HBK9	PF13847
Q8MKW7	PF13691
Q4V836	PF00271
Q5JD92	PF02824
P02522	PF00030
Q5JD97	PF01177
Q5FW75	PF00435
Q9VYX0	PF07776
Q9BDC3	PF02234
Q9W249	PF00013
Q9W3U1	PF00856
P07738	PF00300
O34483	PF02603
P51668	PF00179
Q9W3U9	PF01928
P07737	PF00235
Q9VN97	PF02466
P09602	PF01101
P53109	PF08030
P53108	PF04893
Q9VN93	PF00112
P09606	PF03951
Q9VN91	PF02493
P04276	PF09164
P04279	PF05474
P53102	PF03962
P53101	PF01053
P53100	PF02826
P53107	PF05508
D0U1P6	PF05459
P53104	PF00069
P00961	PF02092
P00960	PF02091
P00963	PF03590
P00962	PF03950
Q9SRT3	PF13632
Q9SRT2	PF00010
P00967	PF02844
Q9SRT0	PF04564
P00969	PF01068
P00968	PF02142
Q8AWF5	PF03801
Q9VYX8	PF01284
Q9BTN0	PF13855
Q55374	PF05050
Q9DAI4	PF00651
Q7TP47	PF00076
Q9NAH7	PF04739
Q6DCR8	PF01433
Q9NTX9	PF15344
Q9NAH2	PF00907
O60519	PF07716
O60518	PF02985
Q9JI91	PF00435
O60516	PF05456
Q80UG2	PF01833
Q80UG5	PF00735
O60512	PF13733
Q9NTX5	PF00378
Q9W245	PF13932
Q93454	PF00400
Q5ZLQ6	PF00244
Q9LFQ1	PF02671
Q93459	PF10609
Q32SG3	PF03195
Q9V3Q6	PF07714
A7DTF1	PF04500
Q9V3Q4	PF00578
Q05144	PF00071
Q5U250	PF02146
P43508	PF00112
Q05140	PF07651
Q7CJ40	PF09611
P0CF48	PF01527
Q1D3Y8	PF03232
Q97IJ0	PF01926
Q9UKV3	PF02037
Q1JV40	PF00520
Q9VHB3	PF09749
Q8VVI8	PF00404
O82580	PF00190
Q9PIL5	PF00923
E1BJB4	PF11618
P30733	PF00360
Q8BFW3	PF10488
Q88NW9	PF00578
E2QCZ5	PF00498
Q1RP76	PF02020
Q9VHB7	PF16564
P35354	PF00008
B1AZ99	PF02338
Q4JR15	PF02053
P46199	PF11987
Q9W4U9	PF03188
O43812	PF00046
Q50JE6	PF12002
Q9NK57	PF01784
Q9NK54	PF07535
Q7Z6M4	PF02536
P00387	PF00175
Q9VU80	PF00782
Q7Z6M1	PF07646
Q8L4X2	PF00931
Q7Z6M3	PF13895
Q7Z6M2	PF12937
Q8SY00	PF02958
Q9P6Q3	PF08740
P00388	PF00175
Q3UZZ4	PF02191
P08550	PF02674
P08551	PF04732
P08553	PF04732
Q9Y4A5	PF00454
Q9Z1J3	PF00266
P03729	PF00877
Q9Y4A8	PF03131
P08559	PF00676
F4I562	PF00928
Q9VU84	PF14604
Q99584	PF01023
Q80SY3	PF01992
Q9N5H6	PF00856
Q10669	PF11573
P10040	PF02210
Q18412	PF07558
Q7TQ11	PF01033
Q10661	PF05186
Q10663	PF01274
Q10664	PF00069
Q10666	PF00505
Q10667	PF00076
Q8LFT2	PF02212
P0A712	PF03812
P0A715	PF00793
P0A717	PF13793
Q5NCP0	PF13639
Q9P1U0	PF01096
Q9P1U1	PF00022
P62775	PF12796
Q81WQ8	PF01855
Q7CJ53	PF03865
Q728V7	PF03061
Q9JIA7	PF00781
Q728V3	PF00091
Q728V0	PF02873
Q9WV48	PF07653
P34281	PF04818
P56250	PF00042
O57762	PF00118
Q86YE8	PF01352
O92551	PF00600
Q70IV5	PF00038
Q99712	PF01007
Q02496	PF01390
Q8TC56	PF12480
Q99717	PF03166
Q99715	PF00092
Q94C59	PF03765
Q5F3W0	PF00619
P14785	PF00134
Q99719	PF00735
Q8TC59	PF02171
Q62048	PF01335
Q5F3W6	PF00244
O83099	PF01281
F4IBD7	PF13967
Q9LIJ0	PF03195
Q27415	PF03066
Q9LEV4	PF14111
Q8CWH0	PF01464
H2A1V7	PF04559
Q96JA3	PF00169
Q9EPB4	PF02758
Q96JA1	PF01463
G5E9I4	PF08598
Q9EPB1	PF05577
Q8D1L3	PF01063
P41900	PF02270
P41901	PF00735
P41902	PF12809
P41903	PF02551
A5K5E5	PF12319
Q6V1X1	PF00326
P97554	PF00226
Q8N5T2	PF00566
Q7X7E6	PF00234
Q9JMG9	PF00651
Q4P9K9	PF00063
Q7K6J1	PF00046
Q9JMG3	PF00240
Q9JMG7	PF00855
Q8K3M6	PF10174
Q8NFU7	PF02008
P19493	PF10613
Q9NVK5	PF05769
P19491	PF10613
P19490	PF10613
P19496	PF00374
P0AC94	PF02447
Q7CIH3	PF00044
P19499	PF04422
Q80U87	PF08969
Q8IJ52	PF07133
C9J384	PF14617
P90681	PF16500
P21992	PF00669
Q16543	PF03234
Q5ZVS2	PF16849
Q16540	PF00276
Q9FJ55	PF00069
Q9FJ54	PF00069
O17580	PF03715
Q16549	PF16470
Q9FJ50	PF10604
Q93AT8	PF04183
Q6ZWT7	PF03062
Q9VXZ0	PF05676
Q9U362	PF00396
Q06494	PF00248
Q2M7M3	PF13983
Q6ZRS2	PF00176
P78921	PF00118
Q6P4R8	PF14465
Q72EM7	PF12399
Q1MTM9	PF00172
Q3UFB7	PF16920
D3ZTD8	PF00090
M9PF47	PF00250
Q9VY34	PF01849
Q52M93	PF01352
O14161	PF08312
P0C717	PF05812
Q72EM3	PF01370
G5EBZ4	PF00176
Q9D312	PF00038
Q9VXM0	PF00058
P12063	PF16714
Q6ID70	PF04969
Q96KE9	PF08005
Q9D318	PF02893
E9QAE3	PF00176
P01303	PF00159
Q7G097	PF08323
B1AKQ8	PF00400
Q9VI78	PF00083
Q14188	PF02319
Q0P8P4	PF00082
Q9VI72	PF07202
P49334	PF04281
Q9U369	PF05640
Q6FI35	PF00705
Q71VM4	PF01749
Q9VI74	PF04925
Q9VI75	PF07651
P21163	PF09112
Q88A91	PF03496
P91119	PF00233
Q9CQ56	PF09753
Q9CQ54	PF06374
Q7CHF5	PF00593
Q9VXM6	PF00651
P40700	PF00813
E9PJ55	PF05794
C0HKD8	PF06991
Q8IMT4	PF02958
Q6IAN0	PF00106
O14657	PF06309
O14656	PF06309
Q99PW8	PF00225
O14654	PF02174
Q7CFN1	PF00497
Q7CFN0	PF04519
Q99PW3	PF13088
B9DHQ0	PF03953
Q6NXM2	PF00415
P0A6C0	PF00266
Q9FUQ7	PF13833
P46222	PF00673
P0A6C5	PF00583
Q75Q39	PF13181
P0A6C8	PF00696
P77288	PF00419
Q96E29	PF02536
P54651	PF00183
Q920J3	PF00400
Q9LFU1	PF13537
Q9LFU3	PF00170
Q5U211	PF00787
Q9UNH5	PF14671
Q9UNH7	PF09325
Q9UNH6	PF00787
Q8TBG4	PF00202
Q8MSX0	PF00071
P40702	PF01312
Q9DWX8	PF02480
Q5T5J6	PF13638
Q8IQR3	PF08451
Q8TBG9	PF01284
P34288	PF00620
Q9P6P3	PF00069
Q8INQ8	PF15982
A8ASG6	PF00124
O70535	PF00041
O96660	PF03166
O35710	PF03372
Q42521	PF00282
Q42522	PF00202
Q42523	PF02786
Q81RW1	PF00395
Q42525	PF03727
P77286	PF03212
Q84XF3	PF02212
Q9P6P7	PF00076
Q06551	PF01529
B7Z4L7	PF00076
Q8K0E8	PF00147
Q06554	PF00176
O25512	PF02441
Q06559	PF00189
Q8K0E1	PF02214
O25519	PF01420
P11607	PF00690
P64534	PF11776
Q8KZP3	PF00344
P64536	PF10808
Q9T072	PF00010
P64530	PF02583
Q9T074	PF01293
Q8KZP4	PF00584
Q8CEC0	PF10168
Q8I629	PF00069
P11868	PF00871
Q07205	PF02020
Q8CEC5	PF00071
P29416	PF14845
Q83145	PF00048
O55057	PF05351
Q8I5G5	PF00249
Q8I5G2	PF03587
Q8I5G0	PF11916
O80413	PF00153
Q9UBJ2	PF00005
O80416	PF03791
Q6UXH8	PF07645
Q04958	PF01734
Q8IKF0	PF00271
Q8CIM7	PF00067
Q6P4Z9	PF10075
Q04952	PF02364
Q04951	PF00332
B3H6K1	PF06423
Q9JKK1	PF09177
O54901	PF00047
Q4V6J1	PF13417
O54908	PF04706
P48972	PF00249
G1UI33	PF02736
P14770	PF01462
Q9Z0R4	PF14604
Q9HAT1	PF03388
Q9Z0R6	PF14604
A8K571	PF00688
Q9C5A5	PF03364
Q6PAM0	PF04739
Q9C5A9	PF11421
Q9Z0R9	PF00487
Q9XSV7	PF00071
Q7KT06	PF07714
G0S6M7	PF04841
P52565	PF02115
Q32Q52	PF15720
Q15154	PF15717
Q69ZK9	PF00135
Q15156	PF00105
P77569	PF01614
P17542	PF00010
Q69ZK5	PF01344
P17540	PF02807
A1Z6R7	PF00071
Q9U4F3	PF02104
