HCVpro ID	Molecule A	Molecule B Gene Symbols	Molecule B Gene ID	PMID	Experimental Evidence (PSI-MI Term ID)
hcv0549	NS5A	TXNDC11	51061	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0550	NS5A	UBASH3A	53347	18985028	Two Hybrid Test (MI:0018)
hcv0551	NS5A	USP19	10869	18985028	Two Hybrid Test (MI:0018)
hcv0552	NS5A	VPS52	6293	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0553	NS5A	GIN1	54826	18985028	Two Hybrid Test (MI:0018)
hcv0554	NS5A	ZNF646	9726	18985028	Two Hybrid Test (MI:0018)
hcv0555	NS5A	NS5B	951475	11801599	GST pull-down (MI:0059); Affinity Chromatography (MI:0004)
hcv0556	NS5A	TRAF2	7186	11821416	Coimmunoprecipitation (MI:0019); Colocalization (MI:0403); Immunostaining (MI:0022); Affinity Chromatography (MI:0004)
hcv0557	NS5A	TRADD	8717	11886269	Pull-down (MI:0096); Coimmunoprecipitation (MI:0019); Colocalization (MI:0403)
hcv0558	NS5A	GAB1	2549	12186904	Coimmunoprecipitation (MI:0019)
hcv0559	NS5A	NS3	951475	12692242	GST pull-down (MI:0059)
hcv0560	NS5A	PIK3CB	5291	14709551	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059)
hcv0561	NS5A	FBXL20	84961	15893726	Coimmunoprecipitation (MI:0019)
hcv0562	NS5A	STAT1	6772	17275127	Coimmunoprecipitation (MI:0019); Confocal microscopy (MI:0663)
hcv0563	NS5A	MYD88	4615	17567694	Coimmunoprecipitation (MI:0019)
hcv0564	NS5A	PDPK1	5170	17616579	GST pull-down (MI:0059); Kinase assay (MI:0424) (MI:0424)
hcv0565	NS5A	AKT1	207	17616579	GST pull-down (MI:0059); Kinase assay (MI:0424) (MI:0424)
hcv0566	NS5A	VPS35	55737	17616579	Two Hybrid Test (MI:0018)
hcv0567	NS5A	MAPK12	6300	17616579	Kinase assay (MI:0424) (MI:0424); GST pull-down (MI:0059)
hcv0568	NS5A	IPO4	79711	17616579	Two Hybrid Test (MI:0018)
hcv0569	NS5A	GSK3B	2932	17616579	GST pull-down (MI:0059); Kinase assay (MI:0424) (MI:0424)
hcv0570	NS5A	AHSA1	10598	17616579	Two Hybrid Test (MI:0018)
hcv0571	NS5A	GSK3A	2931	17616579	GST pull-down (MI:0059); Kinase assay (MI:0424) (MI:0424)
hcv0572	NS5A	CDK6	1021	17616579	Kinase assay (MI:0424) (MI:0424); GST pull-down (MI:0059)
hcv0573	NS5A	TBC1D20	128637	17686842	Two Hybrid Test (MI:0018)
hcv0574	NS5B	VAPA	9218	10544080	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Immunofluorescence (MI:0022); Affinity Chromatography (MI:0004); Immunostaining (MI:0022)
hcv0575	NS5B	EIF4A2	1974	11922617	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Affinity Chromatography (MI:0004)
hcv0576	NS5B	NCL	4691	12427757	GST pull-down (MI:0059); Affinity Chromatography (MI:0004); Immunostaining (MI:0022)
hcv0577	NS5B	NS5B	951475	12692242	Two Hybrid Test (MI:0018)
hcv0578	NS5B	HAO1	54363	14623081	Coimmunoprecipitation (MI:0019); Immunofluorescence (MI:0022); Confocal microscopy (MI:0663); Two Hybrid Test (MI:0018)
hcv0579	NS5B	TTC4	7268	14623081	Coimmunoprecipitation (MI:0019); Immunofluorescence (MI:0022); Confocal microscopy (MI:0663); Two Hybrid Test (MI:0018)
hcv0580	NS5B	ACTN1	87	14623081	Two Hybrid Test (MI:0018); Coimmunoprecipitation (MI:0019); Immunofluorescence (MI:0022); Confocal microscopy (MI:0663); Immunostaining (MI:0022)
hcv0581	NS5B	VAPA	9218	15016871	Coimmunoprecipitation (MI:0019); GST pull-down (MI:0059)
hcv0582	NS5B	DDX5	1655	15113910	Coimmunoprecipitation (MI:0019); Immunostaining (MI:0022); Two Hybrid Test (MI:0018)
hcv0583	NS5B	PKN2	5586	15364941	Coimmunoprecipitation (MI:0019); Colocalization (MI:0403); Kinase assay (MI:0424) (MI:0424); Metabolic labeling (MI:2131)
hcv0584	NS5B	PTBP2	58155	15823607	Immunofluorescence (MI:0022); GST pull-down (MI:0059); Colocalization (MI:0403); Coimmunoprecipitation (MI:0019)
hcv0585	NS5B	FBXL2	25827	15893726	[(3)H]mevalonate labeling (MI:2131); Coimmunoprecipitation (MI:0019)
hcv0586	NS5B	PPIB	5479	15989969	GST pull-down (MI:0059); Coimmunoprecipitation (MI:0019); Colocalization (MI:0403); Cross Linking (MI:0030)
hcv0587	NS5B	VAPB	9217	16227268	Coimmunoprecipitation (MI:0019); Mutational analysis (MI:0074);  Affinity Chromatography (MI:0004)
hcv0588	NS5B	CHUK	1147	16581780	Coimmunoprecipitation (MI:0019)
hcv0589	NS5B	CEP250	11190	18985028	Two Hybrid Test (MI:0018)
hcv0590	NS5B	CEP68	23177	18985028	Two Hybrid Test (MI:0018)
hcv0591	NS5B	HOXD8	3234	18985028	Two Hybrid Test (MI:0018)
hcv0592	NS5B	MGC2752	65996	18985028	Two Hybrid Test (MI:0018)
hcv0593	NS5B	MOBK1B	55233	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0594	NS5B	NR4A1	3164	18985028	Two Hybrid Test (MI:0018)
hcv0595	NS5B	OS9	10956	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0596	NS5B	PKM2	5315	18985028	Two Hybrid Test (MI:0018)
hcv0597	NS5B	PSMB9	5698	18985028	Two Hybrid Test (MI:0018); Co-affinity purification (MI:0025)
hcv0598	NS5B	SETD2	29072	18985028	Two Hybrid Test (MI:0018)
hcv0599	NS5B	SHARPIN	81858	18985028	Two Hybrid Test (MI:0018)
hcv0600	NS5B	TUBB2C	10383	18985028	Two Hybrid Test (MI:0018)
hcv0601	NS5B	NS5B	951475	11907226	Gel filtration (MI:0071); Cross Linking (MI:0030); Two Hybrid Test (MI:0018); Three dimensional structure (MI:0105); Temperature sensitivity (MI:0271)
hcv0602	NS5B	UBQLN1	29979	12634373	Two Hybrid Test (MI:0018);  Coimmunoprecipitation (MI:0019)
hcv0603	NS5B	CINP	51550	14623081	Two Hybrid Test (MI:0018)
hcv0604	NS5B	PSMB4	5692	14623081	Two Hybrid Test (MI:0018)
hcv0605	NS5B	SEPT6	23157	17229681	Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018)
hcv0606	NS5B	HNRNPA1	3178	17229681	Coimmunoprecipitation (MI:0019); Two Hybrid Test (MI:0018)
hcv0607	p7	P7	951475	12560074	Cross Linking (MI:0030); Immunoblotting (MI:0113)
hcv0608	p7	FMNL1	752	16094715	Two Hybrid Test (MI:0018)
hcv0609	p7	H19	283120	16094715	Two Hybrid Test (MI:0018)
hcv0610	p7	ISLR	3671	16094715	Two Hybrid Test (MI:0018)
hcv0611	p7	MS4A6A	64231	16094715	Two Hybrid Test (MI:0018)
hcv0612	p7	NUP214	8021	16094715	Two Hybrid Test (MI:0018)
hcv0613	p7	SSR4	6748	16094715	Two Hybrid Test (MI:0018)
hcv0614	p7	STRBP	55342	16094715	Two Hybrid Test (MI:0018)
hcv0615	p7	CREB3	10488	18985028	Two Hybrid Test (MI:0018)
hcv0616	p7	FBLN2	2199	18985028	Two Hybrid Test (MI:0018)
hcv0617	p7	FXYD6	53826	18985028	Two Hybrid Test (MI:0018)
hcv0618	p7	LMNB1	4001	18985028	Two Hybrid Test (MI:0018)
hcv0619	p7	SLIT2	9353	18985028	Two Hybrid Test (MI:0018)
hcv0620	p7	UBQLN1	29979	18985028	Two Hybrid Test (MI:0018)
hcv0621	p7	UBQLN4	56893	18985028	Two Hybrid Test (MI:0018)
