Entry,Entry name,,Protein families,Cross-reference (Pfam),Cross-reference (PIRSF),Organism,Organism ID
P32474,EUG1_YEAST,reviewed,Protein disulfide isomerase family,PF00085;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P23776,EXG1_YEAST,reviewed,Glycosyl hydrolase 5 (cellulase A) family,PF00150;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P19658,EXO70_YEAST,reviewed,EXO70 family,PF03081;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03764,EKI1_YEAST,reviewed,Choline/ethanolamine kinase family,PF04428;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08299,ENB1_YEAST,reviewed,Major facilitator superfamily,PF07690;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53938,EOS1_YEAST,reviewed,EOS1 family,PF12326;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38312,ERV15_YEAST,reviewed,Cornichon family,PF03311;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P27882,ERV1_YEAST,reviewed,,PF04777;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06340,ESC2_YEAST,reviewed,,PF11976;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53073,EMC4_YEAST,reviewed,EMC4 family,PF06417;,PIRSF017207;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53753,ENG1_YEAST,reviewed,Glycosyl hydrolase 81 family,PF03639;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P00924,ENO1_YEAST,reviewed,Enolase family,PF00113;PF03952;,PIRSF001400;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P00925,ENO2_YEAST,reviewed,Enolase family,PF00113;PF03952;,PIRSF001400;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P16151,ERD1_YEAST,reviewed,ERD1 family,PF03124;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P42222,ERR3_YEAST,reviewed,Enolase family,PF00113;PF03952;,PIRSF001400;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53337,ERV29_YEAST,reviewed,SURF4 family,PF02077;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06344,ESF1_YEAST,reviewed,ESF1 family,PF08159;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03018,ESP1_YEAST,reviewed,,PF03568;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32497,EIF3C_YEAST,reviewed,EIF-3 subunit C family,PF05470;PF01399;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05050,EIS1_YEAST,reviewed,EIS1 family,PF12757;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39540,ELO1_YEAST,reviewed,ELO family,PF01151;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q99382,ENV10_YEAST,reviewed,TMEM208 family,PF05620;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P41912,ERFD_YEAST,reviewed,ERF4 family,PF10256;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25087,ERG6_YEAST,reviewed,"Class I-like SAM-binding methyltransferase superfamily, Erg6/SMT family",PF08241;PF08498;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P24521,ERG8_YEAST,reviewed,"GHMP kinase family, Mevalonate kinase subfamily",PF08544;PF00288;,PIRSF017288;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38819,ERP5_YEAST,reviewed,EMP24/GP25L family,PF01105;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04651,ERV41_YEAST,reviewed,ERGIC family,PF07970;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08822,ETFD_YEAST,reviewed,ETF-QO/FixC family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P09201,F16P_YEAST,reviewed,FBPase class 1 family,PF00316;,PIRSF500210;PIRSF000904;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P47133,EMC2_YEAST,reviewed,EMC2 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43555,EMP47_YEAST,reviewed,EMP46/EMP47 family,PF03388;,PIRSF018136;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06551,ERFB_YEAST,reviewed,"DHHC palmitoyltransferase family, ERF2/ZDHHC9 subfamily",PF01529;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38140,ERT1_YEAST,reviewed,ERT1/acuK family,PF00989;PF00172;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53918,ESBP6_YEAST,reviewed,"Major facilitator superfamily, Monocarboxylate porter (TC 2.A.1.13) family",PF07690;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40456,ESL1_YEAST,reviewed,,PF13638;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04660,ERB1_YEAST,reviewed,WD repeat BOP1/ERB1 family,PF08145;PF00400;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32476,ERG1_YEAST,reviewed,Squalene monooxygenase family,PF08491;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32353,ERG3_YEAST,reviewed,Sterol desaturase family,PF04116;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03103,ERO1_YEAST,reviewed,EROs family,PF04137;,PIRSF017205;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39704,ERP2_YEAST,reviewed,EMP24/GP25L family,PF01105;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53198,ERP6_YEAST,reviewed,EMP24/GP25L family,PF01105;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12284,ERV2_YEAST,reviewed,,PF04777;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P22696,ESS1_YEAST,reviewed,PpiC/parvulin rotamase family,PF00639;PF00397;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P18414,ERD2_YEAST,reviewed,ERD2 family,PF00810;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P12385,ERF1_YEAST,reviewed,Eukaryotic release factor 1 family,PF03463;PF03464;PF03465;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P05453,ERF3_YEAST,reviewed,"TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, ERF3 subfamily",PF03144;PF03143;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36168,ESL2_YEAST,reviewed,,PF13638;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P17214,EST1_YEAST,reviewed,EST1 family,PF10374;PF10373;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03096,EST3_YEAST,reviewed,EST3 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12283,FABD_YEAST,reviewed,FabD family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12452,ERG27_YEAST,reviewed,"Short-chain dehydrogenases/reductases (SDR) family, ERG27 subfamily",PF00106;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53173,ERV14_YEAST,reviewed,Cornichon family,PF03311;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53743,ESF2_YEAST,reviewed,ESF2/ABP1 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08421,ETT1_YEAST,reviewed,ETT1 family,PF12753;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53971,FAP1_YEAST,reviewed,NFX1 family,PF01424;PF01422;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P46671,FAR3_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05040,FAR8_YEAST,reviewed,,PF08232;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P19097,FAS2_YEAST,reviewed,Fungal fatty acid synthetase subunit alpha family,PF01648;PF00109;PF02801;,PIRSF000454;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05498,FCF1_YEAST,reviewed,"UTP23/FCF1 family, FCF1 subfamily",PF04900;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03254,FCP1_YEAST,reviewed,,PF00533;PF03031;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40020,FIR1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40515,FIS1_YEAST,reviewed,FIS1 family,PF14853;PF14852;,PIRSF008835;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08907,FIT3_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40068,FLO8_YEAST,reviewed,FLO8 family,PF08513;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P35731,FABG_YEAST,reviewed,Short-chain dehydrogenases/reductases (SDR) family,PF00106;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03034,FDC1_YEAST,reviewed,"UbiD family, UbiD-like/FDC subfamily",PF01977;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25621,FEN2_YEAST,reviewed,"Major facilitator superfamily, Allantoate permease family",PF07690;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38993,FET3_YEAST,reviewed,Multicopper oxidase family,PF00394;PF07731;PF07732;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08913,FEX1_YEAST,reviewed,Fluoride exporter Fluc/FEX family,PF02537;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32604,F26_YEAST,reviewed,Phosphoglycerate mutase family,PF01591;PF00300;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12035,FCF2_YEAST,reviewed,FCF2 family,PF08698;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38260,FES1_YEAST,reviewed,FES1 family,PF08609;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40988,FET4_YEAST,reviewed,FET4 family,PF04120;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43613,ERJ5_YEAST,reviewed,DnaJ family,PF00226;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38071,ETR1_YEAST,reviewed,"Zinc-containing alcohol dehydrogenase family, Quinone oxidoreductase subfamily",,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P52911,EXG2_YEAST,reviewed,Glycosyl hydrolase 5 (cellulase A) family,PF00150;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38261,EXO84_YEAST,reviewed,EXO84 family,PF16528;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P15646,FBRL_YEAST,reviewed,"Methyltransferase superfamily, Fibrillarin family",PF01269;,PIRSF006540;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12119,FCY22_YEAST,reviewed,Purine-cytosine permease (2.A.39) family,PF02133;,PIRSF002744;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P17064,FCY2_YEAST,reviewed,Purine-cytosine permease (2.A.39) family,PF02133;,PIRSF002744;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40039,FCY21_YEAST,reviewed,Purine-cytosine permease (2.A.39) family,PF02133;,PIRSF002744;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12178,FCY1_YEAST,reviewed,Cytidine and deoxycytidylate deaminase family,PF00383;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P07149,FAS1_YEAST,reviewed,Fungal fatty acid synthetase subunit beta family,PF00698;PF08354;PF01575;PF16073;,PIRSF005562;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53279,FHN1_YEAST,reviewed,NCE102 family,PF01284;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39676,FHP_YEAST,reviewed,"Globin family, Two-domain flavohemoproteins subfamily; Flavoprotein pyridine nucleotide cytochrome reductase family",PF00970;PF00042;PF00175;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38224,FIG1_YEAST,reviewed,,PF12351;,PIRSF007138;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08906,FIT2_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39875,EXO1_YEAST,reviewed,"XPG/RAD2 endonuclease family, EXO1 subfamily",PF00867;PF00752;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P34756,FAB1_YEAST,reviewed,,PF00118;PF01363;PF01504;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P29704,FDFT_YEAST,reviewed,Phytoene/squalene synthase family,PF00494;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P26793,FEN1_YEAST,reviewed,"XPG/RAD2 endonuclease family, FEN1 subfamily",PF00867;PF00752;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43561,FET5_YEAST,reviewed,Multicopper oxidase family,PF00394;PF07731;PF07732;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12099,FAL1_YEAST,reviewed,"DEAD box helicase family, DDX48/FAL1 subfamily",PF00270;PF00271;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53917,FAR11_YEAST,reviewed,FAR11 family,PF11882;PF07923;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P21268,FAR1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38225,FAT1_YEAST,reviewed,ATP-dependent AMP-binding enzyme family,PF00501;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CF35,FDH2_YEAST,reviewed,"D-isomer specific 2-hydroxyacid dehydrogenase family, FDH subfamily",PF02826;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38289,EXO5_YEAST,reviewed,EXO5 family,PF09810;,PIRSF013220;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38137,FAT2_YEAST,reviewed,ATP-dependent AMP-binding enzyme family,PF00501;PF13193;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40030,ERG28_YEAST,reviewed,ERG28 family,PF03694;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38604,ERG7_YEAST,reviewed,Terpene cyclase/mutase family,PF13243;PF13249;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05359,ERP1_YEAST,reviewed,EMP24/GP25L family,PF01105;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12403,ERP3_YEAST,reviewed,EMP24/GP25L family,PF01105;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P42940,ETFB_YEAST,reviewed,ETF beta-subunit/FixA family,PF01012;,PIRSF000090;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40546,FAF1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38913,FAD1_YEAST,reviewed,"PAPS reductase family, FAD1 subfamily",PF01507;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06001,FAR10_YEAST,reviewed,,PF00498;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P43592,FAR7_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39521,FHL1_YEAST,reviewed,,PF00498;PF00250;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40466,FKH1_YEAST,reviewed,,PF00498;PF00250;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32768,FLO1_YEAST,reviewed,Flocculin family,PF00624;PF07691;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40098,FMP10_YEAST,reviewed,FMP10 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08023,FMP25_YEAST,reviewed,,PF00415;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P50264,FMS1_YEAST,reviewed,Flavin monoamine oxidase family,PF01593;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P22007,FNTB_YEAST,reviewed,Protein prenyltransferase subunit beta family,PF00432;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08991,FEX2_YEAST,reviewed,Fluoride exporter Fluc/FEX family,PF02537;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P25653,FIG2_YEAST,reviewed,,PF13928;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32599,FIMB_YEAST,reviewed,,PF00307;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03898,FIN1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P45976,FIP1_YEAST,reviewed,FIP1 family,PF05182;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32472,FKBP2_YEAST,reviewed,"FKBP-type PPIase family, FKBP2 subfamily",PF00254;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38231,FMP23_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08968,FMP40_YEAST,reviewed,UPF0061 (SELO) family,PF02696;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04991,FMP42_YEAST,reviewed,SLC43A transporter (TC 2.A.1.44) family,PF07690;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
A0A023PZB3,FMP49_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q06205,FKBP4_YEAST,reviewed,"FKBP-type PPIase family, FKBP3/4 subfamily",PF00254;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P20081,FKBP_YEAST,reviewed,"FKBP-type PPIase family, FKBP1 subfamily",PF00254;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40464,FLX1_YEAST,reviewed,Mitochondrial carrier (TC 2.A.29) family,PF00153;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53848,FOL1_YEAST,reviewed,DHNA family; HPPK family; DHPS family,PF02152;PF01288;PF00809;,PIRSF000741;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08645,FOLE_YEAST,reviewed,Folylpolyglutamate synthase family,,PIRSF038895;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40989,FKS2_YEAST,reviewed,Glycosyltransferase 48 family,PF14288;PF02364;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39719,FLC2_YEAST,reviewed,Transient receptor potential (TRP) ion channel family,PF06011;PF14558;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40491,FMC1_YEAST,reviewed,FMC1 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q02207,FOX2_YEAST,reviewed,Short-chain dehydrogenases/reductases (SDR) family,PF00106;PF01575;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53739,FPK1_YEAST,reviewed,"Protein kinase superfamily, Ser/Thr protein kinase family, KIN82 subfamily",PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32771,FADH_YEAST,reviewed,"Zinc-containing alcohol dehydrogenase family, Class-III subfamily",PF08240;PF00107;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q08911,FDH1_YEAST,reviewed,"D-isomer specific 2-hydroxyacid dehydrogenase family, FDH subfamily",PF00389;PF02826;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38911,FKBP3_YEAST,reviewed,"FKBP-type PPIase family, FKBP3/4 subfamily",PF00254;,PIRSF001473;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P41813,FKH2_YEAST,reviewed,,PF00498;PF00250;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53121,FLC3_YEAST,reviewed,Transient receptor potential (TRP) ion channel family,PF06011;PF14558;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12497,FMP16_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40008,FMP52_YEAST,reviewed,FMP52 family,PF08732;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P08640,FLO11_YEAST,reviewed,Flocculin family,PF10182;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38894,FLO5_YEAST,reviewed,Flocculin family,PF00624;PF13928;PF07691;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
O13329,FOB1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P37261,FRM2_YEAST,reviewed,,PF00881;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P41809,HKR1_YEAST,reviewed,HKR1/MSB2 family,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P38074,HMT1_YEAST,reviewed,"Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family",,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q04429,HLR1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P40037,HMF1_YEAST,reviewed,RutC family,PF01042;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q03213,HOT1_YEAST,reviewed,HOT1 family,PF12550;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q01448,HPC2_YEAST,reviewed,HPC2 family,PF08729;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12347,HRT3_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P15108,HSC82_YEAST,reviewed,Heat shock protein 90 family,PF02518;PF00183;,PIRSF002583;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P07172,HIS8_YEAST,reviewed,Class-II pyridoxal-phosphate-dependent aminotransferase family,PF00155;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CY07,HMAL1_YEAST,reviewed,MATALPHA1 family,PF04769;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q12398,HMS1_YEAST,reviewed,,PF00010;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32339,HMX1_YEAST,reviewed,,PF01126;,PIRSF000343;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P36078,HOT13_YEAST,reviewed,,PF05495;,PIRSF017292;,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05164,HPF1_YEAST,reviewed,SRP1/TIP1 family,PF11765;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P0CY13,HMRA2_YEAST,reviewed,TALE/M-ATYP homeobox family,PF00046;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P39734,HPH2_YEAST,reviewed,,PF13694;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q05787,HRD3_YEAST,reviewed,Sel-1 family,PF08238;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P29295,HRR25_YEAST,reviewed,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",PF00069;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P10591,HSP71_YEAST,reviewed,Heat shock protein 70 family,PF00012;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P10592,HSP72_YEAST,reviewed,Heat shock protein 70 family,PF00012;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
Q9URQ5,HTL1_YEAST,reviewed,,,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53119,HUL5_YEAST,reviewed,,PF00632;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P53631,HXT17_YEAST,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
P32467,HXT4_YEAST,reviewed,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family",PF00083;,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),559292
